epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2069.48,0.84338,1.10955,1.04421,0.83037,0.63063,0.71984,0.56576,0.73299,1.03189,0.90192,0.000197968,0.000197968,0.000197968
61,2103.44,0.87696,1.13666,1.02757,0.92428,0.59028,0.72425,0.5702,0.72468,1.01519,0.90105,0.000193256,0.000193256,0.000193256
62,2137.11,0.88329,1.12339,1.05399,0.91835,0.59925,0.72104,0.5709,0.71937,0.99583,0.90095,0.000188544,0.000188544,0.000188544
63,2171.05,0.9504,1.22608,1.05253,0.90663,0.60823,0.7218,0.57568,0.71323,0.98096,0.90012,0.000183831,0.000183831,0.000183831
64,2205.4,0.86511,1.13163,0.99482,0.93423,0.59998,0.72398,0.57032,0.70988,0.96218,0.89721,0.000179119,0.000179119,0.000179119
65,2238.73,0.83601,1.11248,1.00997,0.86219,0.63533,0.72403,0.56712,0.71285,0.96548,0.89744,0.000174406,0.000174406,0.000174406
66,2272.74,0.87559,1.08833,1.00902,0.90372,0.632,0.72097,0.56951,0.71049,0.96627,0.8941,0.000169694,0.000169694,0.000169694
67,2305.8,0.8684,1.11357,1.01971,0.93415,0.61718,0.73755,0.58488,0.70704,0.96393,0.89194,0.000164982,0.000164982,0.000164982
68,2340.08,0.85225,1.18097,1.0474,0.92277,0.61782,0.7335,0.59078,0.69839,0.97838,0.88998,0.000160269,0.000160269,0.000160269
69,2375.02,0.83125,1.14828,0.99558,0.92758,0.60948,0.73464,0.5937,0.69528,0.98714,0.88993,0.000155557,0.000155557,0.000155557
70,2409.29,0.86583,1.17087,1.01344,0.93315,0.6054,0.74008,0.59907,0.68939,0.97571,0.88758,0.000150844,0.000150844,0.000150844
71,2441.81,0.83124,1.06054,1.00052,0.9235,0.61192,0.7566,0.6098,0.68245,0.96745,0.88478,0.000146132,0.000146132,0.000146132
